@relation minefield16

@attribute X0 REAL
@attribute X1 REAL
@attribute X2 REAL
@attribute X3 REAL
@attribute X4 REAL
@attribute X5 REAL
@attribute X6 REAL
@attribute X7 REAL
@attribute X8 REAL
@attribute class { 0 , 1 }

@data
1.9566,7.0477,4.1901,4.0308,7.1623,-0.49351,7.2361,7.0729,6.5585,1
1.7568,6.1018,5.2118,5.9825,6.3527,-0.45264,6.436,6.5279,6.4442,1
0.56945,1.2624,4.4495,4.5769,3.9729,-0.4392,3.909,3.9061,3.8111,1
0.91789,1.1457,2.9655,2.4893,3.6315,0.11427,2.8444,2.1465,1.4228,1
-0.44896,0.084831,5.2076,6.1602,1.5885,1.3972,3.0043,3.1792,3.5346,1
0.47155,0.17418,1.482,0.86785,3.1382,-0.50906,1.1536,0.61193,0.33175,0
1.0606,0.891,2.7964,2.2747,2.7397,0.41708,1.9668,1.7005,1.4079,1
-0.44038,-0.063852,3.3422,3.5623,1.7776,-0.073194,1.6519,1.45,1.3755,1
3.103,1.5581,0.66292,0.2827,0.48159,-0.41836,0.73615,0.42289,0.23566,0
0.36504,0.19334,3.1104,3.2378,1.1215,-0.48923,1.166,1.0842,1.0802,1
-0.25496,-0.11296,2.8232,2.916,0.80847,-0.16738,0.91741,0.7984,0.70105,1
1.1937,0.38019,0.12113,-0.18624,2.1506,-0.2117,0.68189,0.21256,0.016532,0
0.28244,0.15782,0.61921,0.085354,-0.35075,0.03532,1.3,0.6461,0.35573,0
0.21552,0.13658,4.0978,4.7889,1.4819,-0.16674,1.1829,1.1777,1.2347,1
-0.56336,-0.18935,1.5147,1.122,1.7929,-0.50709,0.78654,0.59166,0.431,0
-0.14206,-0.099421,0.83173,0.33432,1.4299,-0.3173,0.54846,0.37101,0.22722,0
-0.7045,-0.21881,0.4454,-0.0072269,1.5502,0.14294,0.67047,0.30923,0.13064,0
0.041686,-0.12613,0.12984,-0.1528,1.1727,-0.11903,0.14332,-0.021202,-0.1182,0
-0.17215,-0.13288,0.83111,0.34239,1.52,0.20105,0.47812,0.18162,0.0266,0
2.8398,1.1231,0.39648,0.055781,1.6152,-0.33731,0.36085,0.10515,-0.012294,0
-0.49893,-0.21029,0.69087,0.36375,-0.079042,-0.12588,0.23992,0.13745,0.087215,0
0.085466,-0.067685,0.65208,0.24217,1.1081,-0.50485,0.37454,0.2239,0.13169,1
-0.061505,-0.106,0.3728,0.020916,0.67339,-0.3054,0.36174,0.065073,-0.053362,0
-0.43905,-0.21283,0.067429,-0.18155,0.073539,-0.34943,0.15272,-0.048304,-0.12942,1
-0.69282,-0.2236,0.5572,0.11361,0.84137,-0.50743,0.32398,0.16219,0.084426,0
-0.62412,-0.23293,0.25976,-0.10152,0.19704,-0.44693,0.37232,0.13316,-0.029928,0
0.65828,0.10291,0.51499,0.25931,1.548,0.38777,0.45512,0.17156,0.11902,0
4.0267,1.5012,0.13527,-0.076986,0.84973,-0.48622,0.2613,0.064094,-0.046637,0
-0.29551,-0.10779,2.8868,2.7449,-0.41473,-0.23829,1.2126,1.0209,0.93775,1
4.3394,1.8473,0.23081,-0.023616,1.5973,-0.50792,0.37141,0.1501,-0.0014126,0
-0.38226,-0.18189,1.1403,0.85253,1.0654,0.98533,0.464,0.35198,0.26127,0
0.30313,-0.057619,0.942,0.69084,0.20645,-0.49983,0.36791,0.26877,0.18875,0
-0.32526,-0.12611,2.5711,2.5737,1.0432,-0.50891,0.74624,0.72493,0.75095,0
0.28,-0.072398,0.86323,0.53673,0.94641,-0.46912,0.27255,0.21919,0.14543,0
0.76433,0.061453,0.24799,0.011468,0.72584,-0.49378,0.11018,0.074232,0.02361,0
0.37534,0.064179,0.39164,-0.037369,0.83744,-0.40787,0.30981,0.11608,-0.0056949,0
-0.54621,-0.21875,0.75425,0.39266,0.85618,0.89289,0.29825,0.098764,0.010805,0
0.03337,0.073972,1.5655,0.93812,-0.88332,2.8672,1.5163,0.99689,0.70621,0
0.1085,-0.16742,-0.42931,-0.38083,-1.2572,-0.48807,-0.38856,-0.27305,-0.22747,0
0.27796,-0.051553,0.079169,-0.19312,0.78407,-0.27702,0.16178,0.0070128,-0.067643,0
-0.42572,-0.22015,-0.28651,-0.37838,0.66196,-0.073091,0.0090978,-0.10543,-0.17436,0
-0.68578,-0.23742,1.8646,1.8487,0.89281,-0.41584,0.27501,0.28542,0.32742,0
0.53849,0.018369,-0.4208,-0.44429,1.0166,-0.36723,0.25995,-0.10313,-0.19208,0
-0.6145,-0.21922,1.4343,1.2603,0.70407,-0.49721,0.38428,0.32977,0.31474,0
-0.49139,-0.23262,0.15136,-0.091567,-0.15705,-0.40003,0.015879,-0.055923,-0.10508,0
2.0195,0.50673,-0.16405,-0.29388,0.85191,0.21603,0.34604,0.050089,-0.096616,0
0.37181,-0.017594,2.377,2.6017,0.56889,0.66155,0.24592,0.291,0.32661,0
0.6552,0.01528,-0.47997,-0.47596,-0.12556,-0.36832,-0.11086,-0.21519,-0.24293,0
-0.74913,-0.25088,0.95699,0.79449,0.33985,0.58223,0.20385,0.11354,0.086241,0
-0.44592,-0.22453,0.22886,0.053429,0.10013,0.051022,0.108,-0.013177,-0.055549,1
0.55717,0.079001,0.046179,-0.24276,-0.25052,-0.39547,0.36595,-0.010082,-0.11685,0
0.62158,0.021297,-0.39018,-0.44692,0.94834,-0.4711,0.092979,-0.12163,-0.21508,0
-0.83702,-0.26715,0.18389,0.079381,0.54655,-0.49184,0.017416,0.001909,-0.010143,0
1.9195,0.50451,-0.28967,-0.37926,0.51801,-0.50902,0.039585,-0.12159,-0.16227,0
0.58432,0.083922,-0.10375,-0.31465,0.30665,0.30314,0.1244,-0.0993,-0.14789,0
-0.45281,-0.21489,0.095053,-0.12981,-0.18779,1.0433,0.14286,-0.060001,-0.093462,0
0.3549,-0.075505,0.067472,-0.067423,0.64143,-0.49569,-0.029436,-0.086517,-0.10039,0
-0.71795,-0.24987,0.71419,0.47587,0.50371,0.2026,0.14105,0.12154,0.072037,0
-0.57402,-0.20595,1.9431,1.7651,0.43524,0.2699,0.34198,0.41171,0.46774,1
0.80282,0.030272,0.26566,0.043522,0.48124,-0.12178,0.0018644,-0.042409,-0.052777,1
2.7271,0.76683,0.068383,-0.088225,0.048993,0.13848,0.19131,0.043476,-0.029026,0
-0.099722,-0.1186,0.1712,-0.17898,1.0559,-0.50706,0.10371,-0.10426,-0.13565,1
0.38492,-0.0068967,0.22306,-0.064895,-0.36253,3.279,0.19185,0.058418,-0.017112,0
-0.59588,-0.25942,-0.65794,-0.46761,-0.58368,0.20389,-0.32162,-0.27449,-0.25013,0
0.075925,-0.16187,-0.45893,-0.42342,-0.55161,0.059075,-0.10827,-0.1591,-0.18858,0
-0.31951,-0.19373,1.2123,1.0977,0.19419,-0.11453,0.11222,0.12964,0.14256,0
-0.26453,-0.17427,0.056792,-0.22509,-0.97425,-0.41565,-0.0088387,-0.0078811,-0.097279,1
-0.32564,-0.21875,-0.042987,-0.12406,0.53955,-0.17927,-0.061744,-0.08786,-0.11282,0
-0.6666,-0.24694,0.6925,0.50554,0.70359,-0.43147,0.12559,0.098632,0.067305,0
-0.54324,-0.24388,0.0060895,-0.17581,-0.12481,-0.067692,-0.11372,-0.14353,-0.16748,0
