@relation minefield1

@attribute X0 REAL
@attribute X1 REAL
@attribute X2 REAL
@attribute X3 REAL
@attribute X4 REAL
@attribute X5 REAL
@attribute X6 REAL
@attribute X7 REAL
@attribute X8 REAL
@attribute class { 0 , 1 }

@data
1.3683,15.566,7.3634,9.1305,9.3819,-0.66461,14.342,15.566,15.36,0
1.4189,14.957,7.2139,8.8823,9.095,0.95996,13.577,14.504,14.344,0
-0.089042,1.5294,4.4679,4.3335,4.9876,-0.088195,4.9731,4.5247,3.7538,0
-0.57655,0.50853,5.1792,5.7768,3.5622,-0.66696,3.123,3.1198,2.8173,0
1.831,7.123,3.7014,3.5034,4.8677,1.0587,5.7436,5.1442,4.5195,0
1.5121,5.0894,3.3243,2.8082,4.8596,-0.34309,4.81,4.2904,3.6321,0
-0.012273,0.94456,3.424,3.0148,2.656,1.0492,2.3628,2.1712,1.8837,0
1.488,3.7943,1.9192,0.98758,4.4042,-0.67495,3.9241,2.9008,1.8189,0
1.1587,3.8757,2.6826,1.8679,4.9227,-0.66601,4.4238,3.2742,2.4734,0
0.90371,2.2701,2.6075,1.8822,4.0044,-0.24507,2.8063,2.1632,1.7164,0
-0.080534,1.3229,3.3614,2.6808,4.1607,-0.47916,2.8294,2.6692,2.451,0
-1.1613,-0.25164,2.0549,1.5422,3.892,-0.60946,2.1287,1.5167,1.0438,0
-1.3806,-0.43175,2.324,2.0882,1.3012,-0.6176,1.2109,1.1367,0.9968,0
0.089505,0.95657,2.3431,1.6359,3.1164,0.66847,1.986,1.5027,1.1721,0
-0.86026,-0.21152,1.6707,1.1541,1.0593,2.0746,0.68107,0.69365,0.58226,0
-0.55411,0.30681,2.0673,1.2492,0.05047,-0.55468,0.96459,0.6822,0.76781,0
0.60569,1.7558,2.1526,1.2372,1.9269,-0.65014,1.717,1.3829,1.1283,0
0.11939,0.34053,1.7387,1.3914,2.1182,-0.62776,1.0912,0.87484,0.713,0
0.63392,1.8769,1.3354,0.51784,4.2287,-0.59912,3.1362,1.9325,1.0702,0
-1.7509,-0.55976,2.0249,1.735,1.3836,-0.41436,1.093,0.91046,0.7039,0
0.81673,1.5592,1.4151,0.72384,2.559,-0.43064,1.795,1.0997,0.68098,0
-0.48741,0.00028219,1.9759,1.4066,2.8313,-0.55219,1.6231,1.1367,0.70441,0
0.94955,1.274,2.4146,1.915,1.5062,-0.67653,1.4475,1.0727,0.9236,0
-1.2149,-0.42602,2.6286,2.84,0.95839,-0.6653,0.64734,0.6881,0.72155,0
-0.35013,0.045112,2.2014,1.8833,1.0836,-0.088346,0.57991,0.71102,0.74311,0
1.6522,2.0807,1.676,1.0961,0.86431,-0.62249,0.73059,0.77225,0.72432,0
0.13774,0.21235,2.2198,2.1571,0.3984,-0.66591,0.46637,0.65588,0.7728,0
0.059385,0.16423,1.8547,1.7269,1.3518,-0.67692,0.75249,0.65537,0.57734,0
-0.064512,0.032751,2.1256,2.2086,0.71627,2.0518,0.5457,0.65899,0.68665,0
-0.42194,-0.054571,1.8263,1.5437,1.9246,0.36749,1.1615,0.96698,0.82135,0
-1.1006,-0.43271,1.4263,1.2122,-1.9048,-0.60989,0.31263,0.29911,0.32038,0
-0.72632,0.019326,1.6329,1.0273,2.6522,0.32775,1.3123,1.048,0.7849,0
-1.3566,-0.50423,1.7344,1.6847,-0.068309,-0.56583,0.25368,0.38303,0.48531,1
-0.36528,-0.065486,1.731,1.596,1.0477,-0.65811,0.97366,0.77353,0.68102,0
0.0061874,0.43667,1.6598,1.0763,2.4905,0.76626,1.4479,0.93766,0.60142,0
